,STATE NAME,DENOMINATION - 2000,DENOMINATION - 1000,DENOMINATION - 500,DENOMINATION - 100,DENOMINATION - 50,DENOMINATION - 20,DENOMINATION - 10,DENOMINATION - 5,DENOMINATION - 2,DENOMINATION - 1,TOTAL VALUE (IN RS.)
0,ANDHRA PRADESH,3,5002,8296,1240,0,0,0,0,0,0,9280000
1,ARUNACHAL PRADESH,3,0,118,0,0,0,0,0,0,0,65000
2,ASSAM,0,230,1088,127,266,1,3,0,0,0,800050
3,BIHAR,0,1895,3652,111,94,0,0,0,0,0,3736800
4,CHHATTISGARH,0,0,0,0,0,0,0,0,0,0,0
5,GOA,0,13,8,0,0,0,0,0,0,0,17000
6,GUJARAT,1300,11706,16900,9561,231,13,14,0,0,0,23724050
7,HARYANA,3,81,192,29,0,0,0,2000,0,0,195900
8,HIMACHAL PRADESH,0,26,5,0,0,0,0,0,0,0,28500
9,JAMMU & KASHMIR,2,14,197,136,0,0,0,0,0,0,130100
10,JHARKHAND,0,688,36,0,0,0,0,0,0,0,706000
11,KARNATAKA,254,2291,10180,1173,31,6,97,0,0,196,8009136
12,KERALA,2,1585,872,317,0,0,0,0,0,0,2057200
13,MADHYA PRADESH,8,768,1380,1516,23,6,2,0,0,0,1626890
14,MAHARASHTRA,27,2920,3496,541,472,0,0,0,0,0,4799700
15,MANIPUR,1,19,39,0,0,0,0,0,0,0,40500
16,MEGHALAYA,0,19,38,0,0,0,0,0,0,0,38000
17,MIZORAM,0,348,48,9,0,0,0,0,0,0,372900
18,NAGALAND,0,97,0,0,0,0,0,0,0,0,97000
19,ODISHA,1,130,267,92,0,0,0,0,0,0,274700
20,PUNJAB,548,1508,3147,575,95,0,0,0,0,0,4239750
21,RAJASTHAN,6,663,645,373,6,0,0,0,0,0,1035100
22,SIKKIM,0,0,0,0,0,0,0,0,0,0,0
23,TAMIL NADU,0,1551,3351,1122,76,2,0,0,0,0,3342540
24,TELANGANA,114,3206,8138,893,107,117,91,1,0,0,7600905
25,TRIPURA,0,18,11,57,0,0,0,0,0,0,29200
26,UTTAR PRADESH,0,3526,2258,3580,12,4,2,0,0,0,5013700
27,UTTARAKHAND,0,423,148,1652,70,35,0,0,0,0,666400
28,WEST BENGAL,0,13786,19005,68,10,0,0,0,0,0,23295800
30,ANDAMAN & NICOBAR ISLANDS,0,0,0,0,0,0,0,0,0,0,0
31,CHANDIGARH,0,1499,0,0,0,0,0,0,0,0,1499000
32,DADRA & NAGAR HAVELI,0,0,0,0,0,0,0,0,0,0,0
33,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0
34,NCT OF DELHI,0,28479,48710,36512,644,0,406,0,0,0,56521460
35,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0
36,PUDUCHERRY,0,3,2,29,0,0,0,0,0,0,6900
