S. No.,State/ UT,Total PHCs functioning,Number of PHCs functioning - with 4+ - doctors,Number of PHCs functioning - with 3 - doctors,Number of PHCs functioning - with 2 - doctors,Number of PHCs functioning - with 1 - doctor,Number of PHCs functioning - without - doctor,Number of PHCs functioning - without - lab tech.,Number of PHCs functioning - without - pharma.,Number of PHCs functioning - with - lady - doctor,Note of State/ UT
1,Andhra Pradesh,1147,11,31,476,629,0,364,329,518,NA
2,Arunachal Pradesh,143,3,6,27,81,40,55,55,36,NA
3,Assam,1014,67,63,182,626,76,87,110,183,NA
4,Bihar,1899,439,41,56,1363,0,256,201,156,NA
5,Chhattisgarh,785,0,6,71,318,390,303,185,66,NA
6,Goa,24,5,7,9,3,0,0,0,18,NA
7,Gujarat,1392,0,0,0,1392,0,0,0,516,NA
8,Haryana,366,3,22,97,187,57,144,106,110,#
9,Himachal Pradesh,538,0,3,20,469,69,446,229,95,NA
10,Jammu & Kashmir,637,71,96,169,180,121,294,62,239,NA
11,Jharkhand,297,1,1,40,147,108,204,207,37,NA
12,Karnataka,2359,0,14,169,1973,203,507,531,627,NA
13,Kerala,849,1,110,47,694,0,610,0,460,NA
14,Madhya Pradesh,1171,4,17,180,577,393,525,382,119,NA
15,Maharashtra,1814,0,0,1382,432,0,446,152,516,NA
16,Manipur,85,54,14,10,6,1,33,19,53,NA
17,Meghalaya,109,0,12,55,41,1,2,3,47,NA
18,Mizoram,57,0,0,4,48,5,0,1,18,NA
19,Nagaland,126,0,0,20,89,17,87,44,30,NA
20,Odisha,1280,0,1,673,520,86,1239,134,507,NA
21,Punjab,432,15,18,121,240,38,149,38,184,NA
22,Rajasthan,2079,0,30,319,1563,167,669,1526,188,NA
23,Sikkim,24,0,0,3,21,0,2,12,10,NA
24,Tamil Nadu,1362,204,90,871,197,0,630,221,908,NA
25,Telangana,689,20,13,269,387,0,48,31,390,NA
26,Tripura,93,23,16,45,9,0,15,2,43,NA
27,Uttarakhand,257,3,8,61,122,63,191,21,58,NA
28,Uttar Pradesh,3621,26,88,735,2772,0,1252,0,319,NA
29,West Bengal,914,2,12,169,592,139,623,143,112,NA
30,A & N Island,22,2,10,9,1,0,1,0,13,NA
31,Chandigarh,3,0,1,1,2,0,0,0,2,NA
32,Dadra & Nagar Haveli,9,0,0,9,0,0,0,0,5,NA
33,Daman & Diu,4,0,2,0,2,0,0,0,2,NA
34,Delhi,5,1,2,1,1,0,1,0,4,NA
35,Lakshadweep,4,2,0,0,0,0,0,0,3,NA
36,Puducherry,40,1,18,5,16,0,0,0,19,NA
All India/ Total,All India/ Total,25650,958,752,6305,15700,1974,9183,4744,6611,NA
