S. No.,State/ UT,Infant Mortality Rate [IMR] - Total,Infant Mortality Rate [IMR] - Rural,Infant Mortality Rate [IMR] - Urban
1,Andhra Pradesh,34,38,24
2,Arunachal Pradesh,36,38,23
3,Assam,44,46,22
4,Bihar,38,39,29
5,Chhattisgarh,39,41,31
6,Goa,8,10,7
7,Gujarat,30,38,19
8,Haryana,33,35,27
9,Himachal Pradesh,25,25,19
10,Jammu & Kashmir,24,25,23
11,Jharkhand,29,31,21
12,Karnataka,24,27,19
13,Kerala,10,10,10
14,Madhya Pradesh,47,50,33
15,Maharashtra,19,24,13
16,Manipur,11,12,10
17,Meghalaya,39,40,26
18,Mizoram,27,35,14
19,Nagaland,12,11,14
20,Odisha,44,46,34
21,Punjab,21,23,18
22,Rajasthan,41,45,30
23,Sikkim,16,18,13
24,Tamil Nadu,17,20,14
25,Telangana,31,35,24
26,Tripura,24,21,32
27,Uttarakhand,38,41,29
28,Uttar Pradesh,43,46,34
29,West Bengal,25,25,22
30,A & N Island,16,12,22
31,Chandigarh,14,6,14
32,Dadra & Nagar Haveli,17,24,12
33,Daman & Diu,19,18,19
34,Delhi,18,24,17
35,Lakshadweep,19,16,20
36,Puducherry,10,16,8
All India,Total (All India),34,38,23
