S. No.,State/ UT,Average Rural Area [Sq. Km.] covered by a sub Centre,Average Rural Area [Sq. Km.] covered by a PHC,Average Rural Area [Sq. Km.] covered by a CHC,Average Radial Distance [Kms] covered by a sub Centre,Average Radial Distance [Kms] covered by a PHC,Average Radial Distance [Kms] covered by a CHC
1,Andhra Pradesh,21.3,138.5,823.09,2.6,6.64,16.18
2,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
3,Assam,6.84,31.17,200.02,1.48,3.15,7.98
4,Bihar,9.23,48.36,612.26,1.71,3.92,13.96
5,Chhattisgarh,25.44,168.08,780.71,2.85,7.31,15.76
6,Goa,6.19,55.17,331,1.4,4.19,10.26
7,Gujarat,21.01,137.07,525.61,2.59,6.6,12.93
8,Haryana,16.31,115.4,377.11,2.28,6.06,10.95
9,Himachal Pradesh,26.6,102.98,622.5,2.91,5.72,14.07
10,Jammu & Kashmir,74.48,346.92,2630.83,4.87,10.51,28.93
11,Jharkhand,20.13,260.83,412.06,2.53,9.11,11.45
12,Karnataka,19.83,78.86,903.09,2.51,5.01,16.95
13,Kerala,6.62,41.94,153.5,1.45,3.65,6.99
14,Madhya Pradesh,32.78,257.29,975.03,3.23,9.05,17.61
15,Maharashtra,23.43,136.64,688.51,2.73,6.59,14.8
16,Manipur,52.61,260.56,1302.79,4.09,9.11,20.36
17,Meghalaya,50.79,203.18,820.23,4.02,8.04,16.15
18,Mizoram,56.98,369.84,2342.33,4.26,10.85,27.3
19,Nagaland,41.25,129.65,777.88,3.62,6.42,15.73
20,Odisha,22.78,119.03,411.77,2.69,6.15,11.45
21,Punjab,0.71,4.85,13.89,0.48,1.24,2.1
22,Rajasthan,23.3,161.43,579.63,2.72,7.17,13.58
23,Sikkim,38.62,236.54,2838.5,3.51,8.68,30.05
24,Tamil Nadu,14.53,92.96,328.86,2.15,5.44,10.23
25,Telangana,19.79,137.81,832.89,2.51,6.62,16.28
26,Tripura,10.23,108.54,480.67,1.8,5.88,12.37
27,Uttarakhand,28.47,204.6,876.35,3.01,8.07,16.7
28,Uttar Pradesh,11.37,64.45,283.9,1.9,4.53,9.5
29,West Bengal,8.07,91.5,239.62,1.6,5.4,8.73
30,A & N Island,5.23,29.24,160.82,1.29,3.05,7.15
31,Chandigarh,0.26,1.49,2.24,0.29,0.69,0.84
32,Dadra & Nagar Haveli,4.44,35,157.5,1.19,3.34,7.08
33,Daman & Diu,2.4,15.62,31.24,0.87,2.23,3.15
34,Delhi,36.94,73.87,NA,3.43,4.85,NA
35,Lakshadweep,0.58,2.01,2.68,0.43,0.8,0.92
36,Puducherry,2.68,5.42,54.19,0.92,1.31,4.15
All India,All India,18.9,115.15,525.17,2.45,6.05,12.93
