S. No.,State/ UT,Required - [R],Sanctioned - [S],In Position - [P],Vacant - [S-P],Shortfall - [R-P],Note of State/ UT,Note of Vacant - [S-P]
1,Andhra Pradesh,193,31,38,NA,155,NA,*
2,Arunachal Pradesh,63,NA,0,NA,63,NA,NA
3,Assam,158,NA,12,NA,146,NA,NA
4,Bihar,150,NA,13,NA,137,NA,NA
5,Chhattisgarh,169,155,15,140,154,NA,NA
6,Goa,4,2,1,1,3,NA,NA
7,Gujarat,363,425,27,398,336,NA,NA
8,Haryana,112,20,2,18,110,NA,NA
9,Himachal Pradesh,89,NA,4,NA,85,NA,NA
10,Jammu & Kashmir,84,89,43,46,41,NA,NA
11,Jharkhand,188,0,25,NA,163,NA,*
12,Karnataka,206,206,128,78,78,NA,NA
13,Kerala,232,NA,1,NA,231,NA,NA
14,Madhya Pradesh,309,309,42,267,267,NA,NA
15,Maharashtra,360,202,26,176,334,NA,NA
16,Manipur,17,0,0,0,17,NA,NA
17,Meghalaya,27,0,0,0,27,#,NA
18,Mizoram,9,7,0,7,9,##,NA
19,Nagaland,21,NA,2,NA,19,NA,NA
20,Odisha,370,128,68,60,302,NA,NA
21,Punjab,151,148,50,98,101,NA,NA
22,Rajasthan,579,453,127,326,452,NA,NA
23,Sikkim,2,NA,0,NA,2,NA,NA
24,Tamil Nadu,385,0,2,NA,383,#,*
25,Telangana,114,71,14,57,100,NA,NA
26,Tripura,21,0,0,0,21,NA,NA
27,Uttarakhand,60,50,6,44,54,NA,NA
28,Uttar Pradesh,822,529,112,417,710,NA,NA
29,West Bengal,349,0,0,0,349,NA,NA
30,A & N Island,4,3,0,3,4,NA,NA
31,Chandigarh,2,2,0,2,2,#,NA
32,Dadra & Nagar Haveli,2,0,0,0,2,NA,NA
33,Daman & Diu,2,0,0,0,2,NA,NA
34,Delhi,0,0,0,0,0,NA,NA
35,Lakshadweep,3,0,0,0,3,NA,NA
36,Puducherry,4,0,0,0,4,NA,NA
All India/ Total,All India/ Total,5624,2830,758,2138,4866,NA,NA
