S. No.,State/ UT,Sub Centres functioning at the end of - Sixth Plan - [1981-85],Sub Centres functioning at the end of - Seventh Plan - [1985-90],Sub Centres functioning at the end of - Eigth Plan - [1992-97],Sub Centres functioning at the end of - Ninth Plan - [1997-2002],Sub Centres functioning at the end of - Tenth Plan - [2002-07],Sub Centres functioning at the end of - Eleventh Plan - [2007-12],"Sub Centres functioning at the end of - Twelth Plan - [2012-17] (As on 31st March, 2017)"
1,Andhra Pradesh,6129,7894,10568,10568,12522,12522,7458
2,Arunachal Pradesh,55,155,223,273,379,286,312
3,Assam,1711,5109,5109,5109,5109,4604,4621
4,Bihar,8299,14799,14799,14799,8909,9696,9949
5,Chhattisgarh,NA,NA,NA,NA,4692,5111,5186
6,Goa,156,166,172,172,172,205,214
7,Gujarat,4869,6834,7274,7274,7274,7274,9082
8,Haryana,1591,2299,2299,2299,2433,2520,2589
9,Himachal Pradesh,1299,1851,1980,2069,2071,2065,2083
10,Jammu & Kashmir,609,1460,1700,1700,1888,1907,2967
11,Jharkhand,NA,NA,NA,NA,3958,3958,3848
12,Karnataka,4964,7793,8143,8143,8143,8871,9381
13,Kerala,2270,5094,5094,5094,5094,4575,5380
14,Madhya Pradesh,6615,11910,11938,11947,8834,8869,9192
15,Maharashtra,6391,9248,9725,9725,10453,10580,10580
16,Manipur,301,420,420,420,420,420,421
17,Meghalaya,172,272,377,413,398,397,436
18,Mizoram,162,220,324,346,366,370,370
19,Nagaland,133,244,244,302,397,396,396
20,Odisha,4127,5927,5927,5927,5927,6688,6688
21,Punjab,2602,2852,2852,2852,2858,2951,2950
22,Rajasthan,3790,8000,9400,9926,10612,11487,14406
23,Sikkim,82,132,147,147,147,147,147
24,Tamil Nadu,5860,8681,8681,8682,8683,8706,8712
25,Telangana,NA,NA,NA,NA,NA,NA,4797
26,Tripura,230,506,537,539,579,719,987
27,Uttarakhand,NA,NA,NA,NA,1765,1848,1847
28,Uttar Pradesh,15653,20153,20153,20153,20521,20521,20521
29,West Bengal,6100,7873,7873,8126,10356,10356,10369
30,A & N Island,32,84,96,100,108,119,123
31,Chandigarh,12,12,12,13,13,16,17
32,Dadra & Nagar Haveli,19,34,34,36,38,50,71
33,Daman & Diu,14,14,21,21,21,26,26
34,Delhi,42,42,42,42,41,41,10
35,Lakshadweep,14,14,14,14,14,14,14
36,Puducherry,73,73,80,80,77,51,81
All India,Total (All India),84376,130165,136258,137311,145272,148366,156231
