,STATE NAME,VIOLENT (MURDER),VIOLENT (CULPABLE HOMICIDE),VIOLENT (DOWRY DEATHS),VIOLENT (INFANTICIDE),VIOLENT (FOETICIDE),VIOLENT (ATTEMPT TO MURDER),VIOLENT (ATTEMPT TO HOMICIDE),VIOLENT (GRIEVOUS HURT),VIOLENT (KIDNAPPING & ABDUCTION),VIOLENT (RAPE),VIOLENT (ATTEMPT TO RAPE),VIOLENT (RIOT),VIOLENT (ROBERY),VIOLENT (DACOITY),VIOLENT (ARSON),VIOLENT TOTAL
0,ANDHRA PRADESH,1123,83,193,10,1,1795,0,604,917,994,190,657,315,63,519,7464
1,ARUNACHAL PRADESH,46,6,1,0,0,46,0,235,112,92,15,8,63,10,31,665
2,ASSAM,1149,34,157,0,1,1257,17,9844,6126,1779,370,1671,940,156,664,24165
3,BIHAR,2581,150,987,0,0,6998,1364,12040,7324,1008,321,11617,1410,349,472,46621
4,CHHATTISGARH,957,37,84,1,18,690,1,786,2071,1626,20,652,379,60,341,7723
5,GOA,30,12,2,0,0,18,0,85,106,61,0,117,14,7,17,469
6,GUJARAT,1120,73,12,1,0,986,6,2481,2784,982,5,1659,1155,323,242,11829
7,HARYANA,1057,42,260,1,4,889,6,2052,3932,1187,137,2844,734,177,1070,14392
8,HIMACHAL PRADESH,101,3,3,0,0,66,1,371,290,252,3,395,11,3,94,1593
9,JAMMU & KASHMIR,142,22,6,0,2,574,0,184,810,256,17,3410,59,6,268,5756
10,JHARKHAND,1514,31,278,0,0,885,6,1364,1309,1109,179,1721,551,210,143,9300
11,KARNATAKA,1573,77,234,2,2,2607,74,1272,2916,1655,16,6263,2157,329,471,19648
12,KERALA,305,132,25,0,0,622,2008,1895,241,1656,42,5089,908,71,554,13548
13,MADHYA PRADESH,2004,136,629,14,19,2178,76,5403,7123,4882,63,1665,1602,125,800,26719
14,MAHARASHTRA,2299,184,248,7,7,2619,3,7645,9333,4189,12,7898,6030,656,1338,42468
15,MANIPUR,78,4,0,0,0,211,2,219,145,55,3,119,15,1,59,911
16,MEGHALAYA,108,5,0,1,0,83,0,113,156,190,15,1,87,31,29,819
17,MIZORAM,29,8,0,0,0,17,0,118,6,23,0,3,4,6,27,241
18,NAGALAND,36,14,1,0,0,50,0,37,91,26,3,7,32,2,3,302
19,ODISHA,1328,16,397,1,0,2778,0,4476,3046,1983,161,1914,2012,456,524,19092
20,PUNJAB,771,120,80,8,4,862,59,2213,1591,838,95,0,147,43,78,6909
21,RAJASTHAN,1551,81,462,14,21,1632,133,1335,5299,3656,340,293,970,66,370,16223
22,SIKKIM,17,1,0,0,0,17,0,40,12,92,2,12,5,0,17,215
23,TAMIL NADU,1603,36,58,2,0,2666,4,612,1223,319,17,2002,1680,109,513,10844
24,TELANGANA,1046,137,254,6,0,1050,5,1187,1302,1278,44,511,671,62,451,8004
25,TRIPURA,145,2,19,0,0,58,0,925,139,207,16,78,22,1,34,1646
26,UTTAR PRADESH,4889,1272,2473,21,52,5109,1849,12624,15898,4816,1958,8018,4502,284,1325,65090
27,UTTARAKHAND,194,29,57,0,4,212,2,65,790,336,6,481,128,17,9,2330
28,WEST BENGAL,2044,392,535,0,0,11973,1058,18119,6045,1110,1646,2691,472,115,523,46723
30,ANDAMAN & NICOBAR ISLANDS,14,1,0,0,0,15,2,27,26,30,0,8,5,0,9,137
31,CHANDIGARH,26,6,4,0,1,40,4,41,180,68,4,40,54,5,8,481
32,DADRA & NAGAR HAVELI,5,0,0,0,0,2,0,13,10,14,0,9,1,3,2,59
33,DAMAN & DIU,4,1,0,0,0,3,2,10,21,12,0,9,2,1,2,67
34,NCT OF DELHI,528,54,162,4,8,646,845,529,6619,2155,29,79,4761,46,183,16648
35,LAKSHADWEEP,0,0,0,0,0,1,0,0,0,5,0,0,0,0,5,11
36,PUDUCHERRY,33,2,0,0,0,12,0,75,15,6,0,33,8,2,1,187
