,STATE NAME,RAPE CASE REPORTED,RAPE VICTIMS BELOW 6 YEARS,RAPE VICTIMS 6-11 YEARS,RAPE VICTIMS 12-15 YEARS,RAPE VICTIMS 16-17 YEARS,RAPE VICTIMS CHILD (TOTAL),RAPE VICTIMS 18-29 YEARS,RAPE VICTIMS 30-44 YEARS,RAPE VICTIMS 45-59 YEARS,RAPE VICTIMS 60 YEARS & ABOVE,RAPE VICTIMS ADULT (TOTAL),RAPE VICTIMS (TOTAL)
0,ANDHRA PRADESH,994.0,17.0,43.0,142.0,261.0,463.0,436.0,85.0,9.0,2.0,532.0,995
1,ARUNACHAL PRADESH,92.0,3.0,12.0,25.0,10.0,50.0,32.0,7.0,2.0,1.0,42.0,92
2,ASSAM,1779.0,0.0,52.0,147.0,265.0,464.0,938.0,373.0,4.0,0.0,1315.0,1779
3,BIHAR,1008.0,0.0,7.0,41.0,121.0,169.0,684.0,146.0,9.0,0.0,839.0,1008
4,CHHATTISGARH,1626.0,33.0,79.0,340.0,532.0,984.0,475.0,150.0,13.0,5.0,643.0,1627
5,GOA,61.0,2.0,3.0,15.0,20.0,40.0,8.0,11.0,2.0,0.0,21.0,61
6,GUJARAT,982.0,10.0,23.0,175.0,319.0,527.0,304.0,146.0,7.0,2.0,459.0,986
7,HARYANA,1187.0,32.0,82.0,194.0,210.0,518.0,474.0,165.0,29.0,3.0,671.0,1189
8,HIMACHAL PRADESH,252.0,6.0,13.0,67.0,62.0,148.0,81.0,23.0,6.0,0.0,110.0,258
9,JAMMU AND KASHMIR,256.0,2.0,1.0,9.0,9.0,21.0,182.0,51.0,2.0,0.0,235.0,256
10,JHARKHAND,1109.0,0.0,16.0,51.0,138.0,205.0,657.0,212.0,36.0,0.0,905.0,1110
11,KARNATAKA,1655.0,39.0,73.0,295.0,735.0,1142.0,418.0,94.0,14.0,3.0,529.0,1671
12,KERALA,1656.0,42.0,146.0,276.0,412.0,876.0,525.0,226.0,27.0,7.0,785.0,1661
13,MADHYA PRADESH,4882.0,39.0,153.0,964.0,1323.0,2479.0,1790.0,545.0,86.0,8.0,2429.0,4908
14,MAHARASHTRA,4189.0,107.0,241.0,732.0,1230.0,2310.0,1425.0,436.0,42.0,3.0,1906.0,4216
15,MANIPUR,55.0,1.0,2.0,7.0,8.0,18.0,24.0,11.0,2.0,0.0,37.0,55
16,MEGHALAYA,190.0,12.0,26.0,49.0,36.0,123.0,49.0,20.0,2.0,0.0,71.0,194
17,MIZORAM,23.0,1.0,2.0,4.0,2.0,9.0,7.0,5.0,0.0,2.0,14.0,23
18,NAGALAND,26.0,2.0,5.0,4.0,8.0,19.0,1.0,6.0,0.0,0.0,7.0,26
19,ODISHA,1983.0,5.0,32.0,404.0,817.0,1258.0,597.0,127.0,2.0,0.0,726.0,1984
20,PUNJAB,838.0,15.0,33.0,175.0,187.0,410.0,281.0,139.0,9.0,1.0,430.0,840
21,RAJASTHAN,3656.0,6.0,37.0,195.0,539.0,777.0,2032.0,807.0,41.0,0.0,2880.0,3657
22,SIKKIM,92.0,0.0,16.0,27.0,14.0,57.0,32.0,9.0,0.0,0.0,41.0,98
23,TAMIL NADU,319.0,0.0,0.0,0.0,0.0,0.0,279.0,37.0,4.0,0.0,320.0,320
24,TELANGANA,1278.0,25.0,65.0,272.0,257.0,619.0,480.0,137.0,26.0,16.0,659.0,1278
25,TRIPURA,207.0,5.0,28.0,40.0,35.0,108.0,73.0,24.0,2.0,0.0,99.0,207
26,UTTAR PRADESH,4816.0,56.0,271.0,1078.0,710.0,2115.0,2092.0,543.0,65.0,2.0,2702.0,4817
27,UTTARAKHAND,336.0,2.0,13.0,41.0,35.0,91.0,166.0,74.0,5.0,0.0,245.0,336
28,WEST BENGAL,1110.0,0.0,0.0,0.0,0.0,0.0,804.0,268.0,38.0,0.0,1110.0,1110
30,ANDAMAN AND NICOBAR ISLANDS,30.0,1.0,0.0,0.0,0.0,1.0,25.0,3.0,1.0,0.0,29.0,30
31,CHANDIGARH,68.0,2.0,4.0,18.0,17.0,41.0,21.0,6.0,0.0,1.0,28.0,69
32,DADRA AND NAGAR HAVELI,14.0,0.0,0.0,6.0,3.0,9.0,5.0,0.0,0.0,0.0,5.0,14
33,DAMAN AND DIU,12.0,0.0,0.0,2.0,6.0,8.0,1.0,3.0,0.0,0.0,4.0,12
34,DELHI,2155.0,55.0,116.0,294.0,335.0,800.0,1059.0,302.0,9.0,0.0,1370.0,2170
35,LAKSHADWEEP,5.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,5
36,PONDICHERRY,6.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,4.0,6
